Model	Histology.Detailed	n.breakpoints	median
ALL-02	BCP-ALL	16	14
ALL-03	MLL-ALL	8	4.5
ALL-04	Ph+-ALL	30	30
ALL-07	BCP-ALL	24	14
ALL-08	T-ALL	22	15
ALL-10	Ph-likeALL	12	16
ALL-102	Ph-likeALL	10	16
ALL-105	Ph-likeALL	10	16
ALL-106	Ph-likeALL	33	16
ALL-107	Ph-likeALL	20	16
ALL-108	Ph-likeALL	21	16
ALL-11	BCP-ALL	14	14
ALL-115	Ph-likeALL	17	16
ALL-116	Ph-likeALL	14	16
ALL-117	Ph-likeALL	31	16
ALL-118	Ph-likeALL	6	16
ALL-121	T-ALL	12	15
ALL-122	BCP-ALL	32	14
ALL-123	BCP-ALL	10	14
ALL-16	T-ALL	15	15
ALL-19	BCP-ALL	35	14
ALL-25	BCP-ALL	3	14
ALL-26	BCP-ALL	17	14
ALL-27	T-ALL	28	15
ALL-28	BCP-ALL	5	14
ALL-29	T-ALL	15	15
ALL-30	T-ALL	14	15
ALL-31	T-ALL	20	15
ALL-32	T-ALL	11	15
ALL-33	T-ALL	14	15
ALL-39	T-ALL	22	15
ALL-42	T-ALL	16	15
ALL-43	T-ALL	22	15
ALL-46	T-ALL	19	15
ALL-47	T-ALL	11	15
ALL-50	BCP-ALL	11	14
ALL-51	BCP-ALL	14	14
ALL-52	BCP-ALL	7	14
ALL-53	BCP-ALL	18	14
ALL-54	BCP-ALL	19	14
ALL-55	Ph+-ALL	7	30
ALL-56	Ph+-ALL	31	30
ALL-57	BCP-ALL	2	14
ALL-58	BCP-ALL	7	14
ALL-60	BCP-ALL	17	14
ALL-61	BCP-ALL	4	14
ALL-63	BCP-ALL	9	14
ALL-75	BCP-ALL	20	14
ALL-80	T-ALL	20	15
ALL-81	T-ALL	19	15
ALL-82	BCP-ALL	25	14
ALL-83	BCP-ALL	27	14
ALL-84	BCP-ALL	5	14
ALL-85	T-ALL	14	15
ALL-87	BCP-ALL	13	14
ALL-88	BCP-ALL	14	14
ALL-90	T-ALL	13	15
ALL-91	BCP-ALL	6	14
ALL-93	BCP-ALL	11	14
ALL-94	BCP-ALL	17	14
ALL-95	BCP-ALL	13	14
ALL-97	T-ALL	14	15
ASPS-KY	ASPS	16	31.5
BT-27	CNS embryonal NOS	3	3
BT-29	ATRT	24	18.5
CHLA-258	Ewing Sarcoma	16	16.5
CHLA-79	Neuroblastoma	8	19
COG-N-415x	Neuroblastoma	19	19
COG-N-421x	Neuroblastoma	23	19
COG-N-424x	Neuroblastoma	14	19
COG-N-426x-Felix-PDX	Neuroblastoma	21	19
COG-N-440x	Neuroblastoma	14	19
COG-N-452x	Neuroblastoma	27	19
COG-N-453x	Neuroblastoma	23	19
COG-N-471x	Neuroblastoma	15	19
COG-N-480x	Neuroblastoma	17	19
COG-N-496x	Neuroblastoma	33	19
COG-N-519x	Neuroblastoma	24	19
COG-N-549x	Neuroblastoma	9	19
COG-N-557x	Neuroblastoma	16	19
COG-N-560x	Neuroblastoma	12	19
COG-N-561x	Neuroblastoma	34	19
COG-N-564x	Neuroblastoma	24	19
COG-N-589x	Neuroblastoma	19	19
COG-N-590x	Neuroblastoma	25	19
COG-N-603x	Neuroblastoma	23	19
COG-N-618x	Neuroblastoma	7	19
COG-N-619x	Neuroblastoma	14	19
COG-N-620x	Neuroblastoma	28	19
COG-N-623x	Neuroblastoma	22	19
COG-N-624x	Neuroblastoma	9	19
COG-N-625x	Neuroblastoma	18	19
COG-N-628x	Neuroblastoma	25	19
ES-1	Ewing Sarcoma	16	16.5
ES-4	Ewing Sarcoma	7	16.5
ES-6	Ewing Sarcoma	70	16.5
ES-8	Ewing Sarcoma	21	16.5
ETP-1	ETP-ALL	42	14.5
ETP-2	ETP-ALL	12	14.5
ETP-3	ETP-ALL	18	14.5
ETP-4	ETP-ALL	17	14.5
ETP-5	ETP-ALL	3	14.5
ETP-6	ETP-ALL	10	14.5
EW-5	Ewing Sarcoma	10	16.5
