Model	Signature.28	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Unknown
ALL-02	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-03	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-04	0	0.70226232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175786647	0	0	0	0.065040383	0	0	0	0	0	0	0	0.056910649
ALL-07	0	0.800016801	0	0	0	0	0	0	0	0	0.192119836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007863363
ALL-08	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-10	0	0.623603689	0	0	0	0	0.187463048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122783756	0	0	0	0	0	0	0.066149507
ALL-102	0	0.913274795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086725205
ALL-105	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-106	0	0.8777695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074897564	0	0.047332937
ALL-107	0	0.810179356	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131878819	0	0	0	0	0	0	0	0	0	0	0	0	0.057941825
ALL-108	0	0.930892052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060709445	0	0	0	0.008398503
ALL-11	0	0.847564393	0	0	0	0	0.066728447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08570716
ALL-115	0	0.57296897	0.156377939	0	0	0	0	0.145230619	0	0	0	0	0	0.125422472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11E-16
ALL-116	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-117	0	0.887423217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063280503	0	0	0	0	0	0	0.04929628
ALL-118	0	0.888506137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111493863
ALL-121	0	0.904182425	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076542131	0	0	0	0	0	0	0	0	0	0	0	0	0.019275444
ALL-122	0	0.993252614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006747386
ALL-123	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
